pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
5L2S,22,C34,C,2,4,11.78709291,3.8622208,0.6622207,ok,TRUE,1.4015546,2.2,3.6015546,57.5,22.45110837,40.30221256,-13.05072296,-0.196783143,0.462354901,-0.864583333,ok,,1,17,20,0.15,0.077361813,1.139479726,low rigidification
5L2S,20,C35,C,2,4,5.192109134,3.329607,0.12960696,ok,TRUE,1.8460191,2.2,4.046019,50,20.44981741,39.19976387,-10.97208497,-0.310448372,0.937660784,-0.15625,ok,,1,16,20,0.2,0.077370484,1.139496402,low rigidification
5L2S,8,C,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,20,0.45,,,Not accessible
5L2S,7,C10,C,1,3,0.716140092,3.217776,0.017776012,ok,TRUE,4.941281,5.7,10.641281,24,20.61808718,33.6954943,-6.488277084,-0.148790029,0.790773333,-0.59375,ok,,1,12,20,0.4,3.982263199,829.8874211,modest rigidification
5L2S,11,C12,C,1,3,5.687393217,3.3367558,0.1367557,ok,TRUE,1.8460191,3.7,5.546019,50,21.8126438,36.23673379,-12.51103018,-0.196783143,0.462354901,-0.864583333,ok,,1,12,20,0.4,0.230395088,1.475301457,low rigidification
5L2S,9,C17,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,20,0.2,,,Not accessible
5L2S,10,C21,C,1,3,0.105344805,2.758046,-0.44195414,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,16,20,0.2,,,Not accessible
5L2S,27,C26,C,1,4,3.524756022,3.362364,0.162364,ok,TRUE,6.7709036,5.7,12.470903,18,26.47281808,36.58199421,-3.324125859,-0.747995935,0.610479517,-0.260416667,ok,,1,19,20,0.05,4.456084754,1846.429764,modest rigidification
5L2S,5,C6,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,20,0.3,,,Not accessible
5L2S,34,N7,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,20,0.45,,,Not accessible
5L2T,21,C13,C,3,4,5.622224999,3.0217986,-0.17820144,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,16,16,0,,,Not accessible
5L2T,22,C14,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,16,0,,,Not accessible
5L2T,14,C23,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,16,0.125,,,Not accessible
5L2T,12,C24,C,2,4,5.209420875,2.4661112,-0.73388886,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,16,0.0625,,,Not accessible
5L2T,13,C25,C,2,4,12.56836678,4.1926913,0.9926913,ok,TRUE,20.931602,9.2,30.131601,6,40.19613033,28.72223649,-9.459473416,-0.838655796,0.515070819,0.177083333,ok,,1,15,16,0.0625,,,high rigidification
5L2T,15,C26,C,2,4,0.537824065,3.0796072,-0.1203928,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,14,16,0.125,,,Not accessible
5L2T,16,C28,C,2,4,1.476306791,3.8867416,0.6867416,ok,TRUE,4.941281,5.7,10.641281,24,22.72591991,35.49136047,-6.784749301,-0.461885608,0.777342596,-0.427083333,ok,,1,14,16,0.125,3.982263199,829.8874211,modest rigidification
5L2T,18,C29,C,2,4,16.15095123,4.244255,1.044255,ok,TRUE,1.8460191,2.7,4.546019,50,19.56477424,40.17848831,-8.66044686,-0.461885608,0.777342596,-0.427083333,ok,,1,15,16,0.0625,0.094799461,1.173514573,low rigidification
5L2T,19,C31,C,2,4,10.85293037,3.1767678,-0.023232222,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,16,0.0625,,,Not accessible
5L2T,17,C32,C,2,4,15.84292565,3.7118344,0.5118344,ok,TRUE,1.8460191,2.2,4.046019,50,21.30607692,38.23928449,-12.38328856,-0.461885608,0.777342596,-0.427083333,ok,,2,14,16,0.125,0.077370484,1.139496402,low rigidification
5L2T,23,C,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,16,0.375,,,Not accessible
5L2T,7,C18,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,16,0.3125,,,Not accessible
5L2T,4,C20,C,1,3,7.941983762,4.196635,0.9966347,ok,TRUE,3.0280402,4.7,7.72804,36,22.33328582,35.33189597,-11.29184012,-0.148790029,0.790773333,-0.59375,ok,,1,11,16,0.3125,0.685346226,3.179525186,low rigidification
5L2T,20,C22,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,16,0.1875,,,Not accessible
5L2T,1,C4,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,16,0.3125,,,Not accessible
5L2T,6,C9,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,16,0.1875,,,Not accessible
5L2T,28,N15,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,16,0.5,,,Not accessible
5L2T,30,N30,N,1,3,26.79871696,5.342422,2.142422,ok,TRUE,1.4015546,2.2,3.6015546,57.5,17.4445127,41.51430344,-10.7706456,0.184406329,0.326359922,-0.927083333,ok,,1,16,16,0,0.077361813,1.139479726,low rigidification
5MAH,8,C22,C,3,4,36.2914742,5.269995,2.0699952,ok,TRUE,1.0258769,2.2,3.2258768,65,-12.79517712,12.55517962,2.422227766,-0.052167923,0.134176504,0.989583333,ok,,3,17,17,0,0.076023592,1.136908935,low rigidification
5MAH,13,C32,C,3,4,1.726643581,4.3930564,1.1930563,ok,TRUE,8.210512,5.7,13.910512,15,-19.12625008,7.713579669,-9.407192886,0.725627612,0.686113616,0.052083333,ok,,2,16,17,0.058823529,4.842027792,3541.856836,modest rigidification
5MAH,14,C33,C,3,4,0.084021781,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.084 <= 0.100,0,17,17,0,,,Not accessible
5MAH,28,C23,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,17,0.294117647,,,Not accessible
5MAH,4,C14,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,17,0.294117647,,,Not accessible
5MAH,5,C15,C,1,3,4.039210597,3.8386302,0.63863015,ok,TRUE,1.4015546,2.2,3.6015546,57.5,-13.27732372,9.569848529,0.994814879,0.194616873,0.320375976,0.927083333,ok,,1,13,17,0.235294118,0.077361813,1.139479726,low rigidification
5MAH,17,C17,C,1,3,1.754142577,3.1616724,-0.038327694,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,13,17,0.235294118,,,Not accessible
5MAH,18,C18,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,17,0.294117647,,,Not accessible
5MAH,11,C27,C,1,3,6.680740469,2.723508,-0.47649217,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,16,17,0.058823529,,,Not accessible
