pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
6H0F,2,C3,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,9,0.111111111,,,Not accessible
6H0F,15,N16,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,9,0.222222222,,,Not accessible
6H0G,13,C14,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,9,0.333333333,,,Not accessible
6H0G,17,C18,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,9,0.222222222,,,Not accessible
6H0G,9,N10,N,2,3,1.204496558,2.2005851,-0.9994149,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,9,0,,,Not accessible
6H0G,0,C1,C,1,3,3.030616401,2.0114279,-1.1885722,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,9,0,,,Not accessible
6H0G,11,C12,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,5,9,0.444444444,,,Not accessible
6H0G,1,C2,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,9,0,,,Not accessible
6H0G,2,C3,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,9,0.111111111,,,Not accessible
6H0G,15,N16,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,9,0.222222222,,,Not accessible
6M91,6,C08,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,13,0.307692308,,,Not accessible
6M91,9,C18,C,1,3,3.10143882,1.9677432,-1.2322569,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,13,0.230769231,,,Not accessible
6M91,11,C20,C,1,3,22.89290795,4.3658686,1.1658685,ok,TRUE,0.38791937,2.7,3.0879195,80,9.852294673,-0.029068748,20.31364309,-0.310448372,0.937660784,-0.15625,ok,,1,12,13,0.076923077,0.029151666,1.050432909,low rigidification
6M91,12,C21,C,1,3,24.5657725,3.6525633,0.4525633,ok,TRUE,0.38791937,2.2,2.5879195,80,10.98873548,1.287415584,17.56535265,0.194616873,0.320375976,0.927083333,ok,,1,11,13,0.153846154,0.029151666,1.050432909,low rigidification
6M91,13,C22,C,1,3,9.150195186,3.162182,-0.037817955,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,13,0.230769231,,,Not accessible
6M91,16,C27,C,1,3,0.153935047,2.937569,-0.26243114,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,13,0.076923077,,,Not accessible
6M91,17,C28,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,13,0,,,Not accessible
6M91,18,C29,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,13,0.076923077,,,Not accessible
6M91,23,N06,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,13,0.307692308,,,Not accessible
6M91,24,N15,N,1,3,0.308081388,3.068113,-0.13188696,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,8,13,0.384615385,,,Not accessible
6M91,27,O24,O,1,2,39.27867029,4.4258194,1.2258193,ok,TRUE,0.38791937,2.2,2.5879195,80,9.569910075,-3.304064657,21.53508169,0.222437281,-0.109750142,0.96875,ok,,1,13,13,0,0.029151666,1.050432909,low rigidification
6M92,2,C01,C,1,3,10.31025252,3.1312702,-0.06872988,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,13,0.230769231,,,Not accessible
6M92,4,C03,C,1,3,21.25131298,3.911177,0.7111769,ok,TRUE,0.38791937,2.2,2.5879195,80,-4.716359579,39.91847857,-20.55460744,-0.768430711,-0.075894021,-0.635416667,ok,,1,12,13,0.076923077,0.029151666,1.050432909,low rigidification
6M92,5,C04,C,1,3,25.12769355,3.7471983,0.5471983,ok,TRUE,0.38791937,2.2,2.5879195,80,-6.329216701,39.11171668,-18.30093268,-0.768430711,-0.075894021,-0.635416667,ok,,1,11,13,0.153846154,0.029151666,1.050432909,low rigidification
6M92,6,C05,C,1,3,12.04077941,3.366932,0.16693187,ok,TRUE,1.0258769,2.2,3.2258768,65,-4.935733907,38.05922979,-15.24694521,-0.489503544,0.522779693,-0.697916667,ok,,1,10,13,0.230769231,0.076023592,1.136908935,low rigidification
6M92,10,C15,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,13,0.307692308,,,Not accessible
6M92,15,C26,C,1,3,9.158411823,2.3149571,-0.8850429,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,13,0.153846154,,,Not accessible
6M92,16,C27,C,1,3,9.234200941,3.1812701,-0.018729925,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,13,0.076923077,,,Not accessible
6M92,17,C28,C,1,3,0.647227495,2.610709,-0.5892911,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,13,13,0,,,Not accessible
6M92,18,C29,C,1,3,3.606833691,2.1820843,-1.0179157,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,13,0.076923077,,,Not accessible
6M92,19,C30,C,1,3,9.26582376,3.0826414,-0.117358685,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,13,0.153846154,,,Not accessible
6M92,23,N07,N,1,3,2.379372503,4.0424833,0.8424833,ok,TRUE,4.941281,3.2,8.141281,24,3.138732605,36.5103479,-16.56988344,-0.838655796,0.515070819,0.177083333,ok,,1,8,13,0.384615385,0.209967203,1.425302437,low rigidification
6M92,24,N17,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,13,0.307692308,,,Not accessible
6M92,25,O10,O,1,2,43.99736613,4.4050026,1.2050025,ok,TRUE,0.38791937,2.2,2.5879195,80,-1.281504032,42.60927535,-20.40579932,0.106137472,0.640703777,-0.760416667,ok,,1,13,13,0,0.029151666,1.050432909,low rigidification
6M93,6,C05,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,13,0.230769231,,,Not accessible
6M93,7,C06,C,1,3,2.577455774,3.1164427,-0.08355737,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,13,0.307692308,,,Not accessible
6M93,2,C12,C,1,3,17.16958651,4.5969763,1.3969762,ok,TRUE,1.0258769,2.2,3.2258768,65,11.00277962,-0.320664544,15.14456094,-0.643623455,0.620579977,0.447916667,ok,,1,9,13,0.307692308,0.076023592,1.136908935,low rigidification
6M93,3,C13,C,1,3,28.44320614,4.448958,1.2489579,ok,TRUE,0.38791937,2.2,2.5879195,80,10.19627221,1.025309384,18.26958815,0.243995715,0.968376692,-0.052083333,ok,,1,10,13,0.230769231,0.029151666,1.050432909,low rigidification
6M93,0,C14,C,1,3,23.17370616,4.7816486,1.5816486,ok,TRUE,0.38791937,2.2,2.5879195,80,9.019503045,0.02096156,20.03660012,-0.374629025,0.27511892,0.885416667,ok,,1,11,13,0.153846154,0.029151666,1.050432909,low rigidification
6M93,11,C16,C,1,3,13.74511902,3.5270166,0.3270166,ok,TRUE,1.8460191,2.2,4.046019,50,8.175521616,-3.94381778,15.57777818,-0.374629025,0.27511892,0.885416667,ok,,1,9,13,0.307692308,0.077370484,1.139496402,low rigidification
6M93,17,N03,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,13,0.230769231,,,Not accessible
6M93,18,N10,N,1,3,2.264626226,3.451457,0.25145698,ok,TRUE,3.8105118,4.2,8.010511,30,9.631629407,-4.597376923,11.72695025,-0.374629025,0.27511892,0.885416667,ok,,1,7,13,0.461538462,1.252285752,8.278122069,low rigidification
