pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
8VA6,24,C18,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,21,25,0.16,,,Not accessible
8VA6,36,C26,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,25,0.4,,,Not accessible
8VA6,37,C27,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,25,0.36,,,Not accessible
8VA6,41,C31,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,23,25,0.08,,,Not accessible
8VA6,7,C5,C,2,4,2.813912184,5.626604,2.426604,ok,TRUE,2.4433475,2.2,4.6433477,42,10.06544952,11.69595233,-11.70177229,0.244137001,0.713955924,0.65625,ok,,2,16,25,0.36,0.078229141,1.141149011,low rigidification
8VA6,8,C6,C,2,4,1.936157937,5.1476793,1.9476793,ok,TRUE,2.2,2.2,4.4,45,12.13189909,12.99534236,-9.865494495,0.244137001,0.713955924,0.65625,ok,,1,15,25,0.4,0.077894386,1.140504442,low rigidification
8VA6,10,C7,C,2,4,6.970624448,5.6227436,2.4227436,ok,TRUE,1.8460191,2.2,4.046019,50,13.61931976,15.55544633,-10.41309775,-0.011740118,0.568040781,0.822916667,ok,,2,13,25,0.48,0.077370484,1.139496402,low rigidification
8VA6,13,C10,C,1,3,0.421393128,2.2017918,-0.9982083,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,25,0.4,,,Not accessible
8VA6,17,C13,C,1,4,0.650560684,3.223441,0.023440838,ok,TRUE,1.8460191,2.2,4.046019,50,13.02929357,21.61912835,-13.23230306,-0.052167923,0.134176504,0.989583333,ok,,1,19,25,0.24,0.077370484,1.139496402,low rigidification
8VA6,30,C21,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,25,0.36,,,Not accessible
8VA6,39,C29,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,21,25,0.16,,,Not accessible
8VA6,6,C4,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,17,25,0.32,,,Not accessible
8VA6,12,C9,C,1,3,1.797136593,3.797975,0.597975,ok,TRUE,1.4015546,2.2,3.6015546,57.5,12.23894868,18.51600796,-11.52719093,-0.354304823,-0.403179898,0.84375,ok,,1,14,25,0.44,0.077361813,1.139479726,low rigidification
8VA6,1,N1,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,22,25,0.12,,,Not accessible
8VA6,5,N3,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,18,25,0.28,,,Not accessible
8XR5,2,C15,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,21,26,0.192307692,,,Not accessible
8XR5,18,C19,C,2,4,0.071243712,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.071 <= 0.100,0,24,26,0.076923077,,,Not accessible
8XR5,4,C24,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,26,0.423076923,,,Not accessible
8XR5,29,C39,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,26,0.269230769,,,Not accessible
8XR5,30,C40,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,20,26,0.230769231,,,Not accessible
8XR5,31,C41,C,2,4,0.2943941,2.8190782,-0.38092184,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,21,26,0.192307692,,,Not accessible
8XR5,32,C43,C,2,4,0.594130001,2.7687552,-0.43124485,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,23,26,0.115384615,,,Not accessible
8XR5,33,C44,C,2,4,10.34506989,4.0554595,0.85545945,ok,TRUE,3.0280402,3.2,6.22804,36,-18.83726612,7.833891008,6.363924597,-0.405723434,-0.903908636,-0.135416667,ok,,1,24,26,0.076923077,0.206669179,1.417390638,low rigidification
8XR5,35,C46,C,2,4,8.834740074,3.1770713,-0.022928715,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,24,26,0.076923077,,,Not accessible
8XR5,36,C47,C,2,4,3.742761735,3.58538,0.38538003,ok,TRUE,3.387703,5.7,9.087703,33,-23.35576815,9.436006962,9.351579586,-0.186455952,-0.894536257,-0.40625,ok,,2,23,26,0.115384615,1.660830712,16.49671079,low rigidification
8XR5,37,C52,C,2,4,0.386674435,3.3871741,0.18717408,ok,TRUE,2.7167737,5.2,7.916774,39,-12.0977035,21.0277844,4.674127007,0.762627714,0.256631852,0.59375,ok,,1,21,26,0.192307692,0.809261239,3.91915649,low rigidification
8XR5,7,C01,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,18,26,0.307692308,,,Not accessible
8XR5,10,C04,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,26,0.269230769,,,Not accessible
